<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MRKY;60;19/09/24;13:00:00;0.06315;0.0637;0.0614;0.0628;32730000
MRKY;60;19/09/24;14:00:00;0.06285;0.0631;0.06255;0.0626;3250000
MRKY;60;19/09/24;15:00:00;0.0626;0.06295;0.0625;0.0629;2750000
MRKY;60;19/09/24;16:00:00;0.06275;0.06275;0.061;0.0616;24940000
MRKY;60;19/09/24;17:00:00;0.06175;0.06225;0.0616;0.06225;7280000
MRKY;60;19/09/24;18:00:00;0.06225;0.06225;0.0616;0.06215;3620000
MRKY;60;19/09/24;19:00:00;0.06225;0.06225;0.06195;0.06225;1020000
MRKY;60;20/09/24;11:00:00;0.06115;0.06275;0.0611;0.0623;18700000
MRKY;60;20/09/24;12:00:00;0.06245;0.06485;0.06235;0.06445;74530000
MRKY;60;20/09/24;13:00:00;0.0645;0.0647;0.0639;0.06425;28120000
MRKY;60;20/09/24;14:00:00;0.06435;0.0645;0.06395;0.0641;9440000
MRKY;60;20/09/24;15:00:00;0.0642;0.06455;0.06405;0.06435;5830000
MRKY;60;20/09/24;16:00:00;0.06415;0.0643;0.06405;0.06405;10520000
MRKY;60;20/09/24;17:00:00;0.0641;0.0641;0.0637;0.0637;5240000
MRKY;60;20/09/24;18:00:00;0.0638;0.0638;0.0636;0.0636;2070000
MRKY;60;20/09/24;19:00:00;0.0636;0.0636;0.0625;0.06315;10290000
MRKY;60;23/09/24;11:00:00;0.06435;0.06485;0.0634;0.0643;32680000
MRKY;60;23/09/24;12:00:00;0.0641;0.06445;0.06395;0.06405;3670000
MRKY;60;23/09/24;13:00:00;0.064;0.0643;0.0635;0.0635;12240000
MRKY;60;23/09/24;14:00:00;0.06365;0.06385;0.06365;0.0637;510000
MRKY;60;23/09/24;15:00:00;0.0638;0.0638;0.0635;0.0636;1450000
MRKY;60;23/09/24;16:00:00;0.0636;0.06385;0.0636;0.06385;3930000
MRKY;60;23/09/24;17:00:00;0.0639;0.0642;0.06385;0.0641;4390000
MRKY;60;23/09/24;18:00:00;0.064;0.0649;0.06395;0.06475;34290000
MRKY;60;23/09/24;19:00:00;0.06475;0.06495;0.06435;0.0649;29860000
MRKY;60;24/09/24;11:00:00;0.0653;0.0662;0.06425;0.06425;39590000
MRKY;60;24/09/24;12:00:00;0.0644;0.0645;0.064;0.06435;4700000
MRKY;60;24/09/24;13:00:00;0.06435;0.06485;0.0643;0.06445;8280000
MRKY;60;24/09/24;14:00:00;0.06445;0.06455;0.06435;0.06455;2000000
MRKY;60;24/09/24;15:00:00;0.06455;0.06485;0.06445;0.0645;2390000
MRKY;60;24/09/24;16:00:00;0.06455;0.06455;0.0641;0.0641;1530000
MRKY;60;24/09/24;17:00:00;0.0641;0.0644;0.0641;0.0644;260000
MRKY;60;24/09/24;18:00:00;0.0643;0.0644;0.06395;0.06395;3430000
MRKY;60;24/09/24;19:00:00;0.0641;0.06425;0.064;0.06425;2210000
MRKY;60;25/09/24;11:00:00;0.0644;0.0657;0.06335;0.06345;41990000
MRKY;60;25/09/24;12:00:00;0.06345;0.06375;0.06325;0.06345;7240000
MRKY;60;25/09/24;13:00:00;0.06345;0.06405;0.0634;0.06405;14500000
MRKY;60;25/09/24;14:00:00;0.06415;0.0642;0.0639;0.06405;12240000
MRKY;60;25/09/24;15:00:00;0.06395;0.0642;0.06385;0.06395;8550000
MRKY;60;25/09/24;16:00:00;0.06395;0.06685;0.06385;0.0654;106620000
MRKY;60;25/09/24;17:00:00;0.0657;0.0657;0.065;0.06515;18640000
MRKY;60;25/09/24;18:00:00;0.0654;0.0654;0.06495;0.0653;11310000
MRKY;60;25/09/24;19:00:00;0.0654;0.06565;0.06535;0.06555;4630000
MRKY;60;26/09/24;11:00:00;0.06525;0.0655;0.06275;0.0639;47810000
MRKY;60;26/09/24;12:00:00;0.0639;0.06465;0.06375;0.06425;6730000
MRKY;60;26/09/24;13:00:00;0.0643;0.0649;0.0643;0.0648;6700000
MRKY;60;26/09/24;14:00:00;0.06465;0.06465;0.0645;0.0646;4590000
MRKY;60;26/09/24;15:00:00;0.06445;0.06455;0.0644;0.0644;2360000
MRKY;60;26/09/24;16:00:00;0.0645;0.0655;0.06435;0.06445;40560000
MRKY;60;26/09/24;17:00:00;0.0647;0.0647;0.0642;0.0645;5360000
MRKY;60;26/09/24;18:00:00;0.06445;0.0645;0.0638;0.06405;6780000
MRKY;60;26/09/24;19:00:00;0.064;0.0642;0.06385;0.064;3210000
MRKY;60;27/09/24;11:00:00;0.0639;0.0649;0.06345;0.06415;22170000
MRKY;60;27/09/24;12:00:00;0.06425;0.0644;0.06405;0.0643;3360000
MRKY;60;27/09/24;13:00:00;0.0643;0.0645;0.06415;0.06435;3600000
MRKY;60;27/09/24;14:00:00;0.06435;0.06585;0.0643;0.06455;28570000
MRKY;60;27/09/24;15:00:00;0.065;0.065;0.0646;0.0647;1870000
MRKY;60;27/09/24;16:00:00;0.0648;0.06485;0.06455;0.06475;1490000
MRKY;60;27/09/24;17:00:00;0.06455;0.06485;0.0645;0.06485;2200000
MRKY;60;27/09/24;18:00:00;0.06475;0.0648;0.0646;0.0648;3920000
MRKY;60;27/09/24;19:00:00;0.0647;0.0651;0.0644;0.06485;4320000
MRKY;60;30/09/24;11:00:00;0.0646;0.066;0.0646;0.06555;19660000
MRKY;60;30/09/24;12:00:00;0.06555;0.06685;0.0651;0.0654;27320000
MRKY;60;30/09/24;13:00:00;0.0654;0.06545;0.0647;0.0649;2880000
MRKY;60;30/09/24;14:00:00;0.0649;0.06505;0.0649;0.065;1150000
MRKY;60;30/09/24;15:00:00;0.065;0.06505;0.0648;0.0648;1120000
MRKY;60;30/09/24;16:00:00;0.0648;0.0648;0.0643;0.06445;5810000
MRKY;60;30/09/24;17:00:00;0.06455;0.06485;0.0643;0.06445;4930000
MRKY;60;30/09/24;18:00:00;0.0645;0.0647;0.0638;0.064;7020000
MRKY;60;30/09/24;19:00:00;0.0641;0.06415;0.0636;0.06385;3700000
MRKY;60;01/10/24;11:00:00;0.0631;0.0651;0.063;0.0638;22950000
MRKY;60;01/10/24;12:00:00;0.0638;0.0638;0.06255;0.06285;12860000
MRKY;60;01/10/24;13:00:00;0.06265;0.0632;0.0625;0.0632;3860000
MRKY;60;01/10/24;14:00:00;0.0632;0.0635;0.0627;0.06345;6900000
MRKY;60;01/10/24;15:00:00;0.06345;0.06345;0.06325;0.06345;2220000
